iter	Passed	Remaining
0	0	72
1	1	70
2	1	62
3	2	56
4	2	54
5	3	51
6	3	50
7	4	49
8	4	48
9	5	47
10	5	46
11	6	45
12	6	45
13	7	44
14	7	43
15	8	43
16	8	43
17	9	42
18	9	42
19	10	41
20	10	40
21	11	40
22	11	39
23	12	38
24	13	39
25	13	38
26	14	38
27	15	39
28	15	38
29	16	38
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	20	34
37	20	33
38	21	33
39	21	32
40	22	31
41	22	31
42	22	30
43	23	29
44	23	29
45	24	28
46	25	28
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	29	25
53	29	25
54	30	24
55	31	24
56	31	23
57	31	23
58	32	22
59	33	22
60	34	21
61	34	21
62	35	20
63	36	20
64	36	19
65	37	19
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	40	15
72	40	15
73	41	14
74	42	14
75	42	13
76	43	12
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	4
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
